#time, s3key, filesize
2022-01-01T02:29:53Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/01/mms1_fgm_brst_l2_20220101022953_v5.328.0.cdf,864193
2022-01-01T02:31:33Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/01/mms1_fgm_brst_l2_20220101023133_v5.328.0.cdf,899641
2022-01-01T02:33:13Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/01/mms1_fgm_brst_l2_20220101023313_v5.328.0.cdf,1224950
2022-01-01T02:52:03Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/01/mms1_fgm_brst_l2_20220101025203_v5.328.0.cdf,1083880
2022-01-01T02:54:03Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/01/mms1_fgm_brst_l2_20220101025403_v5.328.0.cdf,1084524
2022-01-01T03:59:03Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/01/mms1_fgm_brst_l2_20220101035903_v5.328.0.cdf,1068887
2022-01-01T04:01:03Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/01/mms1_fgm_brst_l2_20220101040103_v5.328.0.cdf,997444
2022-01-01T04:02:53Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/01/mms1_fgm_brst_l2_20220101040253_v5.328.0.cdf,1075930
2022-01-01T04:04:53Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/01/mms1_fgm_brst_l2_20220101040453_v5.328.0.cdf,1065229
2022-01-01T06:42:13Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/01/mms1_fgm_brst_l2_20220101064213_v5.328.0.cdf,1168312
2022-01-01T06:44:23Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/01/mms1_fgm_brst_l2_20220101064423_v5.328.0.cdf,1254420
2022-01-01T06:46:43Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/01/mms1_fgm_brst_l2_20220101064643_v5.328.0.cdf,1150355
2022-01-01T16:17:53Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/01/mms1_fgm_brst_l2_20220101161753_v5.328.0.cdf,478397
2022-01-01T17:36:43Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/01/mms1_fgm_brst_l2_20220101173643_v5.328.0.cdf,814710
2022-01-01T17:38:13Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/01/mms1_fgm_brst_l2_20220101173813_v5.328.0.cdf,880385
2022-01-01T18:48:03Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/01/mms1_fgm_brst_l2_20220101184803_v5.328.0.cdf,531238
2022-01-01T20:22:23Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/01/mms1_fgm_brst_l2_20220101202223_v5.328.0.cdf,517029
2022-01-02T06:49:43Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/02/mms1_fgm_brst_l2_20220102064943_v5.328.0.cdf,929811
2022-01-02T06:51:33Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/02/mms1_fgm_brst_l2_20220102065133_v5.328.0.cdf,855414
2022-01-02T06:53:13Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/02/mms1_fgm_brst_l2_20220102065313_v5.328.0.cdf,927751
2022-01-02T07:33:13Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/02/mms1_fgm_brst_l2_20220102073313_v5.328.0.cdf,1230796
2022-01-02T07:35:33Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/02/mms1_fgm_brst_l2_20220102073533_v5.328.0.cdf,1209922
2022-01-02T07:37:53Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/02/mms1_fgm_brst_l2_20220102073753_v5.328.0.cdf,1188968
2022-01-02T07:40:13Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/02/mms1_fgm_brst_l2_20220102074013_v5.328.0.cdf,1214745
2022-01-02T07:42:33Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/02/mms1_fgm_brst_l2_20220102074233_v5.328.0.cdf,1228201
2022-01-02T07:44:53Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/02/mms1_fgm_brst_l2_20220102074453_v5.328.0.cdf,1216328
2022-01-02T07:47:13Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/02/mms1_fgm_brst_l2_20220102074713_v5.328.0.cdf,1225986
2022-01-02T07:49:33Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/02/mms1_fgm_brst_l2_20220102074933_v5.328.0.cdf,1220997
2022-01-02T07:51:53Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/02/mms1_fgm_brst_l2_20220102075153_v5.328.0.cdf,1224548
2022-01-02T07:54:13Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/02/mms1_fgm_brst_l2_20220102075413_v5.328.0.cdf,1234486
2022-01-02T10:48:13Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/02/mms1_fgm_brst_l2_20220102104813_v5.328.0.cdf,1328532
2022-01-02T10:50:43Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/02/mms1_fgm_brst_l2_20220102105043_v5.328.0.cdf,1314027
2022-01-02T11:04:23Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/02/mms1_fgm_brst_l2_20220102110423_v5.328.0.cdf,831910
2022-01-02T11:05:53Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/02/mms1_fgm_brst_l2_20220102110553_v5.328.0.cdf,819496
2022-01-02T11:11:53Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/02/mms1_fgm_brst_l2_20220102111153_v5.328.0.cdf,1159952
2022-01-02T11:14:03Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/02/mms1_fgm_brst_l2_20220102111403_v5.328.0.cdf,1170950
2022-01-02T11:16:13Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/02/mms1_fgm_brst_l2_20220102111613_v5.328.0.cdf,1251643
2022-01-02T11:18:33Z,s3://helio-public/MMS/mms1/fgm/brst/l2/2022/01/02/mms1_fgm_brst_l2_20220102111833_v5.328.0.cdf,1157222
